Node	PosxNode	PosyNode	Name	Lines
2779	443533,9	4476173	AV.DE LOS TOREROS-RAFAELA BONILLA	74/2
2782	439676	4475284	PZA.ESPAÑA-MARTIN DE LOS HEROS	74/2 138/1
2783	439397,3	4475342	FERRAZ-LUISA FERNANDA	74/2
2784	439256	4475537	FERRAZ-REY FRANCISCO	74/2
2785	439043	4475829	FERRAZ-MARQUES DE URQUIJO	74/2
2786	438884,9	4476042	FERRAZ-ROMERO ROBLEDO	74/2
2787	442659,5	4480826	PAQUETE EXPRES-EST.CHAMARTIN	457/1
2788	442254	4480519	ESTACION DE CHAMARTIN	457/1
2790	442647	4480831	PAQUETE EXPRES-EST.CHAMARTIN	457/2
2791	442712,8	4480984	CENTRO CLASIFICACION-EST.CHAMARTIN	457/1
2792	442652,5	4481111	CORREOS-EST.CHAMARTIN	457/1 457/2
2793	441201	4471922	PZA.BEATA MARIA ANA DE JESUS	62/2 76/1 76/2
2794	441005,5	4469418	EDUARDO BARREIROS-AV.POBLADOS	76/1
2795	440504,4	4468138	EDUARDO BARREIROS-PEUGEOT	76/1
2796	440502	4468100	EDUARDO BARREIROS-PEUGEOT	76/2
2797	440907	4468904	EDUARDO BARREIROS-PADUL	76/1 116/1
2798	440879	4468819	EDUARDO BARREIROS-PADUL	76/2
2799	440802,5	4468724	EDUARDO BARREIROS-CENTRO DE SALUD	76/1 116/1
2800	439208	4476386	ARCIPRESTE DE HITA-FERNANDO EL CATOLICO	83/1 83/2
2801	440982,3	4469115	EDUARDO BARREIROS-AV.DE LOS ROSALES	76/1 78/2
2802	440999	4469162	EDUARDO BARREIROS-AV.DE LOS ROSALES	76/2 78/1
2803	440688,2	4468512	EDUARDO BARREIROS-M40	76/1 116/1
2804	440661,5	4468425	EDUARDO BARREIROS-M40	76/2
2805	440331,7	4467798	EDUARDO BARREIROS-ENTRADA PPAL.PEUGEOT	76/1
2806	440361,9	4467820	EDUARDO BARREIROS-ENTRADA PPAL.PEUGEOT	76/2
2807	440221	4467483	EDUARDO BARREIROS-JOSE PEREZ	76/1
2808	440239,8	4467501	EDUARDO BARREIROS-JOSE PEREZ	76/2
2809	436599,1	4468693	AV.DEL EURO-MARAVEDI	155/2
2810	439828,4	4466999	VILLALONSO Nº 18	76/1
2811	439843	4466975	VILLALONSO-OLAS	76/2 514/2
2812	439539,9	4466982	VILLALONSO-PUEBLA DE SANABRIA	76/1
2813	439561	4466955	VILLALONSO-PUEBLA DE SANABRIA	76/2 514/2
2814	439323,5	4466967	Pº PLATA Y CASTAÑAR-PLEAMAR	76/1
2815	439308	4466946	Pº PLATA Y CASTAÑAR-PLEAMAR	76/2
2816	439177	4467222	Pº PLATA Y CASTAÑAR-OLAS	76/1 76/2
2817	440672,2	4470634	CRISTO DE LA VICTORIA-SANTUARIO	78/1
2818	440734,2	4472730	EMBAJADORES-Pº STA.Mª CABEZA	60/1 78/1 148/1 401/1 517/1
2819	440700,5	4472833	EMBAJADORES-Pº STA.Mª CABEZA	60/2 78/2 148/2 517/2
2820	440389,3	4470434	CRISTO DE LA VICTORIA-FERROVIARIOS	78/1
2821	440412,8	4470434	CRISTO DE LA VICTORIA-FERROVIARIOS	78/2
2822	440163	4470307	CRISTO DE LA VICTORIA-JASPE	78/1
2823	440168	4470292	CRISTO DE LA VICTORIA-JASPE	78/2
2824	439663,8	4469259	UNIDAD-AV.RAFAELA YBARRA	78/1 81/1 116/1 515/1
2825	439664	4469271	UNIDAD-AV.RAFAELA YBARRA	78/2 81/2 116/2
2828	440211,3	4469197	GRAN AVENIDA-PZA.ASOCIACION	78/1 81/1 116/1 515/1
2829	440177	4469239	GRAN AVENIDA-PZA.ASOCIACION	78/2 81/2 116/2
2830	440375	4469175	CAMPOTEJAR-GRAN AVENIDA	78/1 116/1 515/1
2831	440398	4469205	CAMPOTEJAR-NIVAR	78/2 116/2
2832	440347,8	4469029	CAMPOTEJAR-FERNANDO ORTIZ	78/1 116/1 515/1
2833	440363,9	4468978	FERNANDO ORTIZ-CAMPOTEJAR	78/2 116/2
2835	440557	4469058	AV.ORCASUR-PZA.PUEBLO	78/2 116/2
2836	440867	4468939	SALVADOR MARTINEZ-E.BARREIROS	78/1 116/1
2838	440518	4468930	FERNANDO ORTIZ-AV.ORCASUR	78/1 116/1
2839	441357,7	4469075	ANTEQUERA-GTA.SAN MARTIN DE LA VEGA	23/1 78/2 123/1 512/1
2840	440819,4	4469008	MOREJA-SALVADOR MARTINEZ	78/2 116/2
2841	440715	4469238	GRAENA-AV.ORCASUR	78/2 116/2
2842	439647	4469575	AV.RAFAELA YBARRA-CESTONA	78/2 81/2 116/2 131/2
2843	441249	4466128	AV.ANDALUCIA-ROCAFORT	79/1
2844	441283,3	4466085	AV.ANDALUCIA-ROCAFORT	79/2
2845	441224	4465512	RESINA-AV.ANDALUCIA	79/1
2846	441161,3	4465496	RESINA-AV.ANDALUCIA	79/2
2847	440614,1	4465500	RESINA-SAN EUSTAQUIO	79/1
2848	440733,9	4465486	RESINA-TRANSVERSAL SEXTA	79/2 514/1 514/2
2849	440475,9	4465688	SAN CESAREO-SAN EUSTAQUIO	79/1
2850	440138	4465689	SAN CESAREO-SAN ERASMO	79/1
2851	439949,1	4466177	DOMINGO PARRAGA-PZA.GOMEZ ACEBO	79/1 514/2
2852	439983,3	4466165	DOMINGO PARRAGA-AV.REAL DE PINTO	79/2 514/1
2855	440099,8	4465865	SAN ERASMO-SAN NORBERTO	79/1
2856	439468,1	4466305	ASTILLERO-ESCRIBANOS	79/1 514/2
2857	439448	4466257	ASTILLERO-ESCRIBANOS	79/2 514/1
2858	440160,2	4465895	SAN NORBERTO-SAN ERASMO	79/2
2859	440499	4465846	SAN EUSTAQUIO-SAN NORBERTO	79/2
2860	441248,2	4465255	AV.ANDALUCIA-AV.MARCONI	79/2
2861	436879,4	4468774	AV.DEL EURO-DURO	155/2
2862	441291	4465678	AV.ANDALUCIA-CUARTEL SAN CRISTOBAL	79/2
2863	437037,8	4468946	AV.DEL EURO-PESO HISPANO	155/2
2864	440256,8	4484081	MONASTERIO SILOS-MONASTERIO HUELGAS	134/1 178/1 523/1
2865	440800,1	4470235	HOSPITAL 12 DE OCTUBRE-DR.TOLOSA LATOUR	81/1 81/2
2866	441017	4469984	HOSPITAL 12 DE OCTUBRE-ENTRADA PPAL.	81/1
2868	440297	4469356	EXPROPIACION-AV.POBLADOS	81/1
2869	440266	4469340	EXPROPIACION-AV.POBLADOS	81/2
2870	440467	4469680	DR.TOLOSA LATOUR-ACCESO 12 OCTUBRE	81/1 121/1
2871	440755,5	4469838	HOSPITAL 12 DE OCTUBRE-MATERNIDAD	81/1 121/1
2872	440999	4469882	HOSPITAL 12 DE OCTUBRE	121/1
2873	440930,9	4469379	AV.POBLADOS-EDUARDO BARREIROS	81/2 121/2
2874	440746,8	4469388	AV.POBLADOS-AV.ORCASUR	81/2 121/2
2875	440452,9	4469404	AV.POBLADOS-DR.TOLOSA LATOUR	81/2 121/2 515/2
2877	437157,6	4469116	AV.DEL EURO-AGUACATE	155/2
2878	444010,9	4479337	EMILIO RUBIN-ARTURO SORIA	87/1
2879	444191,8	4479539	MONTEARAGON Nº 8	87/1
2880	444566,4	4479969	GRAN VIA HORTALEZA-GTA.LUIS ROSALES	87/1
2881	444555,8	4479991	GRAN VIA HORTALEZA-GTA.LUIS ROSALES	87/2
2882	444888	4480014	GRAN VIA HORTALEZA-HARO	87/1
2883	444877,3	4480042	GRAN VIA HORTALEZA-HARO	87/2
2884	445202,5	4480108	GRAN VIA HORTALEZA-TIJUANA	87/1
2885	445174,3	4480133	GRAN VIA HORTALEZA-TIJUANA	87/2
2886	445573	4480233	GRAN VIA HORTALEZA-GTA.SANDRO PERTINI	87/1
2887	445567,3	4480267	GRAN VIA HORTALEZA-GTA.SANDRO PERTINI	87/2
2888	445974	4480350	MAR ADRIATICO-AYACUCHO	87/1
2889	445955,4	4480343	MAR ADRIATICO-AYACUCHO	87/2
2890	446178	4481179	GREGORIO SANCHEZ HERRAEZ-M40	87/1 502/1
