Node	PosxNode	PosyNode	Name	Lines
1	433743,5	4480432	AV.VALDEMARIN-ALTAIR	161/1
2	433481,3	4480271	AV.VALDEMARIN-LA SALLE	161/1
3	433656	4479857	BLANCA DE CASTILLA-Cº DE LA ZARZUELA	161/1
4	433632	4479467	PLEYADES-ANA TERESA	161/1
5	433613,6	4479245	PLEYADES-AV.OSA MAYOR	161/1
6	433677,3	4479860	BLANCA DE CASTILLA-Cº DE LA ZARZUELA	161/2
7	433502	4480247	AV.VALDEMARIN-LA SALLE	161/2
8	433810,5	4480406	AV.VALDEMARIN-BLANCA DE CASTILLA	161/2
11	442820	4480525	AV.BURGOS-BUGANVILLA	14/1
12	431468	4480424	AV.NUESTRA SRA.DE BEGOÑA-LASARTE	162/1
13	430783	4480560	GUECHO-GOBELAS	162/1
14	430804	4480564	GUECHO-GOBELAS	162/1
16	431172	4480099	AV.VICTORIA-PADRE HUIDOBRO	162/1
18	431137	4480129	AV.VICTORIA-PADRE HUIDOBRO	162/2
19	430685	4480348	ACCESO A LA A6-AV.VICTORIA	162/2
20	430840	4480498	GOBELAS-GUECHO	162/2
21	431175	4480366	MOTRICO-LEQUEITIO	162/2
22	431416	4480326	AMOREBIETA-AV.NUESTRA SRA.DE BEGOÑA	162/2
23	437709	4477961	ESCUELA UNIVERSITARIA DE ESTADISTICA	83/2 133/2 162/2
24	446051	4480263	GTA.MAR DE CRISTAL	125/1 125/2 172/1 172/2 372/1 372/2
28	441636	4479802	Pº CASTELLANA-JUZGADOS	5/2 27/2 147/2 522/2 524/2
29	441681,1	4479809	Pº CASTELLANA-JUZGADOS	5/1 27/1 147/1 522/1 524/1
30	441772	4479932	MATEO INURRIA-PZA.DE CASTILLA	5/1 70/1 107/1 129/1
31	441756	4479957	MATEO INURRIA-PZA.DE CASTILLA	5/2 66/2 70/2 107/2 129/2 174/2
32	441610,7	4479449	Pº CASTELLANA-ROSARIO PINO	5/2 27/2 147/2 522/2 524/2
33	441649,5	4479446	Pº CASTELLANA-ROSARIO PINO	5/1 27/1 147/1 522/1 524/1
34	441580	4479055	PZA.DE CUZCO	5/2 27/2 40/2 147/2 522/2 524/2
35	441632	4479229	PZA.DE CUZCO	5/1 27/1 147/1 522/1 524/1
36	441564,3	4478865	Pº CASTELLANA-GRAL.YAGUE	5/2 27/2 40/2 147/2 522/2 524/2
37	441595,1	4478771	Pº CASTELLANA-GRAL.YAGUE	27/1 40/1 126/1 147/1 522/1 524/1
38	441544,4	4478641	Pº CASTELLANA-RAFAEL SALGADO	27/2 40/2 126/2 147/2
39	441584,1	4478640	Pº CASTELLANA-RAFAEL SALGADO	27/1 40/1 126/1 147/1
40	447446,1	4476712	SAN ROMUALDO-JULIAN CAMARILLO	105/1
41	441510,8	4478299	Pº CASTELLANA-PZA.DE LIMA	14/2 27/2 40/2 126/2 147/2 150/2 522/2 524/2
42	441557,1	4478300	Pº CASTELLANA-PZA.DE LIMA	27/1 40/1 126/1 147/1 150/1 522/1 524/1
44	441571,3	4478478	Pº CASTELLANA-PZA.DE LIMA	27/1 40/1 126/1 147/1 150/1
45	441567,2	4478313	PZA.DE LIMA	120/1 120/2
46	441497,4	4478068	Pº CASTELLANA-AZCA	14/2 27/2 40/2 126/2 147/2 150/2 522/2 524/2
47	441536,2	4478063	Pº CASTELLANA-AZCA	27/1 40/1 126/1 147/1 150/1 522/1 524/1
48	441469,8	4477755	Pº CASTELLANA-RAIMUNDO F.VILLAVERDE	14/2 27/2 40/2 147/2 150/2
49	441452	4477622	Pº CASTELLANA-NUEVOS MINISTERIOS	7/2 14/2 27/2 40/2 147/2 150/2 522/2 524/2
50	441511,7	4477784	Pº CASTELLANA-Pº DE LA HABANA	27/1 40/1 126/1 147/1 150/1 522/1 524/1
51	441440	4477476	Pº CASTELLANA-NUEVOS MINISTERIOS	7/2 14/2 27/2 40/2 147/2 150/2 522/2 524/2
52	441497	4477441	Pº CASTELLANA-JORGE MANRIQUE	7/1 14/1 27/1 40/1 147/1 150/1 522/1 524/1
53	441406	4477136	PZA.SAN JUAN DE LA CRUZ	7/2 14/2 27/2 40/2 147/2 150/2 522/2 524/2
54	441476	4477151	PZA.SAN JUAN DE LA CRUZ	7/1 14/1 27/1 40/1 147/1 150/1 522/1 524/1
56	441555,8	4476843	PZA.DOCTOR MARAÑON	7/1 14/1 27/1 40/1 147/1 150/1 522/1 524/1
57	441649,3	4476467	GTA.EMILIO CASTELAR	5/2 14/2 27/2 45/2 150/2 501/2 522/2 524/2
58	441699	4476553	GTA.EMILIO CASTELAR	7/1 16/1 40/1 147/1
59	441686	4476245	Pº CASTELLANA-Pº EDUARDO DATO	5/2 14/2 27/2 45/2 150/2 501/2 522/2 524/2
60	441748,5	4476270	Pº CASTELLANA-Pº EDUARDO DATO	5/1 14/1 27/1 45/1 150/1 501/1 522/1 524/1
61	441598,9	4475819	Pº CASTELLANA-MINISTERIO INTERIOR	5/2 14/2 27/2 45/2 150/2 501/2 522/2 524/2 525/1 526/1
62	441660,6	4475828	Pº CASTELLANA-MQUES.VILLAMAGNA	5/1 14/1 27/1 45/1 150/1 501/1 522/1 524/1
63	441525,9	4475457	Pº CASTELLANA-PZA.DE COLON	5/2 14/2 27/2 45/2 150/2 501/2 522/2 524/2 525/1 526/1
65	441533	4475232	Pº RECOLETOS-BIBLIOTECA NACIONAL	5/1 14/1 27/1 45/1 53/1 150/1 501/1 504/1 522/1 523/1 524/1 525/2 526/2
66	441589,8	4475481	Pº CASTELLANA-PZA.DE COLON	5/1 14/1 27/1 45/1 150/1 501/1 522/1 524/1
68	441447,5	4475123	Pº RECOLETOS-BARBARA DE BRAGANZA	5/2 14/2 27/2 37/1 45/2 53/2 150/2
69	441274	4474780	PZA.DE CIBELES	1/2 2/1 9/2 15/2 20/2 51/2 52/2 53/2 74/2 146/2 203/2 516/1 516/2 517/1 517/2 518/1 518/2 519/1 519/2
70	441286,8	4474709	PZA.DE CIBELES	1/1 2/2 9/1 15/1 20/1 51/1 52/1 74/1 146/1 505/1 505/2 506/1 506/2 507/1 507/2
71	441349,3	4474670	Pº PRADO-PZA.DE CIBELES	502/1 502/2 503/1 503/2
72	441392,2	4474842	Pº RECOLETOS-PZA.DE CIBELES	5/1 14/1 27/1 37/2 45/1 53/1 150/1 501/1 501/2 504/1 504/2 522/1 522/2 524/1 524/2 525/2 526/2
73	441336	4474829	Pº RECOLETOS-PZA.DE CIBELES	5/2 14/2 27/2 37/1 45/2 150/2 523/1 523/2 525/1 526/1
74	441290,1	4474696	PZA.DE CIBELES-Pº DEL PRADO	34/1 34/2
77	441174,5	4474263	PZA.CANOVAS DEL CASTILLO	10/1 14/2 27/2 34/1 37/1 45/2 509/1 510/1 511/1 512/1 513/1 514/1 515/1 517/1 525/1 526/1
78	441293	4474319	PZA.CANOVAS DEL CASTILLO	10/2 14/1 27/1 34/2 37/2 45/1 509/2 510/2 511/2 512/2 513/2 514/2 515/2 517/2 525/2
79	441276,3	4473956	Pº PRADO-PZA.PLATERIA MTNEZ.	10/1 14/2 27/2 34/1 37/1 45/2 509/1 510/1 511/1 512/1 513/1 514/1 515/1 517/1 525/1 526/1
81	441342,2	4473684	Pº PRADO-ATOCHA	10/1 14/2 27/2 34/1 37/1 45/2 509/1 510/1 511/1 512/1 513/1 514/1 515/1 517/1 525/1 526/1
82	441380,4	4473699	Pº PRADO-ATOCHA	10/2 14/1 27/1 34/2 37/2 45/1 509/2 510/2 511/2 512/2 513/2 514/2 515/2 517/2 525/2
83	441258,4	4473446	PZA.EMPERADOR CARLOS V	27/2 34/1 68/1 512/1 515/1 517/1
84	440817,6	4473285	RONDA DE ATOCHA	27/2 34/1 36/1 41/1 68/1 119/1 512/1 515/1 517/1
85	440808	4473251	TEATRO CIRCO PRICE	27/1 34/2 36/2 41/2 69/2 119/2 512/2 515/2 517/2
86	440507,6	4473192	GTA.EMBAJADORES	27/1 27/2
87	440988,5	4473082	JOSE ANTONIO ARMONA-Pº STA.Mª CABEZA	27/1
88	441226,9	4473049	DELICIAS Nº 14	27/1
89	441294	4473322	Pº DELICIAS-TORTOSA	6/2 19/2 27/1 45/1 513/2 514/2
90	441057	4474657	ALCALA-CIRCULO DE BELLAS ARTES	5/1 9/1 51/1 52/1 53/1 146/1 150/1
92	442579,3	4471883	MENDEZ ALVARO-EST.SUR DE AUTOBUSES	102/2 148/2
93	440218,6	4481379	MONFORTE DE LEMOS-LA VAGUADA	49/2 83/2 132/2 137/2
96	441882,2	4478361	CONCHA ESPINA-PZA.SAGRADOS CORAZONES	14/2 150/2
97	441838,2	4478662	PADRE DAMIAN-RAFAEL SALGADO	150/2
98	441860	4478663	PADRE DAMIAN-RAFAEL SALGADO	150/1
99	441959,9	4478973	PADRE DAMIAN-JOSE L.GALDIANO	150/2
100	441982	4478957	PADRE DAMIAN-JOSE L.GALDIANO	150/1
101	441978	4479187	PADRE DAMIAN-ALBERTO ALCOCER	150/2
102	441998,4	4479146	PADRE DAMIAN-ALBERTO ALCOCER	150/1
103	442000,7	4479449	PADRE DAMIAN-PEDRO MUGURUZA	150/2
104	442020,4	4479413	PADRE DAMIAN-PEDRO MUGURUZA	150/1
105	442071,9	4479538	FRAY.B.SAHAGUN-PZA.M.MOLAS	150/2
106	442077	4479500	FRAY.B.SAHAGUN-PZA.M.MOLAS	150/1
107	442266	4479376	FRAY.B.SAHAGUN-MENENDEZ PIDAL	150/2
108	442267,6	4479349	FRAY B.SAHAGUN-MENENDEZ PIDAL	150/1
109	442417,7	4479286	ALFONSO XIII-PZA.PRESIDENTE CARDENAS	150/2
110	442421,4	4479266	ALFONSO XIII-PZA.PRESIDENTE CARDENAS	150/1
111	442734	4479327	AV.PIO XII-PZA.PERU	16/2 29/2
112	442766	4479333	AV.PIO XII-PZA.PERU	16/1 29/1 150/1 501/1
113	442717	4479256	PZA.DEL PERU	51/1 51/2
114	442771,1	4479520	AV.PIO XII Nº 21	16/2 29/2 150/2 501/2
115	442795,3	4479514	AV.PIO XII-CENTRO COMERCIAL	16/1 29/1 150/1 501/1
116	442820,7	4479809	AV.PIO XII-COMANDANTE FRANCO	16/2 29/2 150/2 501/2
117	442853	4479849	AV.PIO XII-COMANDANTE FRANCO	16/1 29/1 150/1 501/1
118	442993,1	4480192	AV.PIO XII-NUNCIATURA	16/2 150/2
119	443004	4480155	AV.PIO XII-NUNCIATURA	16/1 150/1
120	443025	4480435	AV.PIO XII-MARQUES DE TORROJA	150/2
123	442680,8	4480801	BAMBU-AV.PIO XII	129/2 150/2 174/2
124	442773,3	4481105	BAMBU-YUCA	129/2 150/2 174/2
125	442831	4481395	AV.BURGOS Nº 30	129/2 150/2 174/2
126	442854	4481366	AV.BURGOS Nº 30	129/1 150/1
127	442876	4481562	AV.SAN LUIS-AV.BURGOS	129/2 150/2
128	442901,8	4481522	AV.SAN LUIS-AV.BURGOS	129/1 150/1
129	443140	4481403	AV.SAN LUIS-CONDADO DE TREVIÑO	129/2 150/2
130	443100,7	4481427	AV.SAN LUIS-CONDADO DE TREVIÑO	129/1 150/1
131	443247,6	4481212	AV.SAN LUIS-SERRANO GALVACHE	129/2 150/2
132	443241,7	4481168	AV.SAN LUIS-SERRANO GALVACHE	129/1 150/1
133	443407	4481103	ARTURO SORIA-AV.SAN LUIS	29/2 129/2 150/2
134	443444	4481096	ARTURO SORIA-AV.SAN LUIS	29/1 125/1 129/1 150/1
135	443446,3	4481362	ARTURO SORIA Nº 315	29/2 125/2 129/2 150/2
136	443453	4481288	ARTURO SORIA-CULTURA	29/1 125/1 129/1 150/1
137	443554	4481502	ARTURO SORIA Nº 329	125/2 129/2 150/2 501/2
138	443552,8	4481463	ARTURO SORIA-DALIA	125/1 129/1 150/1
139	443752	4481736	ARTURO SORIA-AV.MANUEL AZAÑA	125/2 129/2 150/2 501/2
140	443784	4481713	ARTURO SORIA-AV.MANUEL AZAÑA	125/1 129/1 150/1
145	442816	4480914	AV.BURGOS Nº 16	129/1 150/1
146	442832,3	4480691	AV.BURGOS-AV.PIO XII	129/1 150/1
147	443348	4475743	PZA.MANUEL BECERRA-FCO.SILVELA	143/1 143/2 156/1 156/2
148	443367	4475370	DR.ESQUERDO-HERMOSILLA	2/1 56/1 68/1 71/1 143/1 156/1
149	443401,4	4475330	DR.ESQUERDO-FUNDADORES	2/2 56/2 69/2 71/2 143/2 156/2
150	443341	4475012	DR.ESQUERDO-O DONNELL	2/1 30/1 56/1 71/1 143/1 156/1
151	443382	4475094	DR.ESQUERDO-JORGE JUAN	2/2 30/2 56/2 71/2 143/2 156/2
152	443313	4474947	O DONNELL-DR.ESQUERDO	28/2 506/2
153	443313	4474919	O DONNELL-DR.ESQUERDO	28/1 203/1 402/1 403/1 506/1 527/1
154	443008	4474968	O DONNELL-MAIQUEZ	28/2
155	443006	4474938	O DONNELL-MAIQUEZ	28/1
156	442730	4474988	O DONNELL-NARVAEZ	2/1 28/2 506/2
157	442724	4474960	O DONNELL-NARVAEZ	2/2 28/1 506/1
158	442389	4474990	O DONNELL-AV.MENENDEZ PELAYO	2/1 20/2 28/2 506/2 508/2
159	442361	4474960	O DONNELL-AV.MENENDEZ PELAYO	20/1 508/1
161	441643	4474876	PUERTA DE ALCALA	1/2 2/1 9/2 15/2 20/2 51/2 52/2 74/2 146/2 504/2 505/2 506/2 507/2
162	441721,1	4474766	PUERTA DE ALCALA	1/1 2/2 9/1 15/1 19/2 20/1 51/1 52/1 74/1 146/1 502/1 503/1 505/1 506/1 507/1 508/1
163	441700,8	4474864	PUERTA DE ALCALA	28/1 28/2
164	440966,6	4474690	GRAN VIA-ALCALA	1/1 2/2 46/2 74/1 146/1 602/2
166	440432,6	4474849	GRAN VIA-TRES CRUCES	1/2 2/1 46/1 74/2 146/2 516/1 518/1 519/1 520/1 521/1
167	440454	4474817	GRAN VIA-SALUD	1/1 2/2 46/2 74/1 146/1 518/2 519/2 520/2 521/2
168	440110	4474966	GRAN VIA-SAN BERNARDO	1/2 2/1 44/1 46/1 74/2 75/1 133/1 147/1 148/1 516/1 518/1 519/1 520/1 521/1
169	440094	4474939	GRAN VIA-SAN BERNARDO	1/1 2/2 46/2 74/1 146/1 518/2 519/2 520/2 521/2
170	439905	4475146	GRAN VIA-PZA.ESPAÑA	1/2 2/1 3/2 44/1 46/1 74/2 75/1 133/1 148/1 516/1 518/1 519/1 520/1 521/1
171	439836	4475153	GRAN VIA-PZA.ESPAÑA	1/1 2/2 46/2 74/1 518/2 519/2 520/2 521/2
172	439657	4475481	PRINCESA-VENTURA RODRIGUEZ	1/2 2/1 44/1 68/2 133/1 521/1
173	439617	4475489	PRINCESA-VENTURA RODRIGUEZ	1/1 2/2 44/2 69/1 74/1 133/2 521/2
174	441931,1	4474856	ALCALA-LAGASCA	2/2 20/1 28/1
175	439580	4475683	MARTIRES DE ALCALA-PRINCESA	2/1
176	439740	4475985	BLASCO DE GARAY-ALBERTO AGUILERA	2/1
177	439765	4476370	BLASCO DE GARAY Nº 40	2/1
180	440062,1	4477090	VALLEHERMOSO Nº 112	2/1
181	439899,2	4477321	JUAN VIGON Nº 23	2/1
182	439694	4477195	JUAN VIGON-GUZMAN EL BUENO	2/1
183	439470,4	4477307	GRAL.AMPUDIA Nº 8	2/1
184	439467,3	4477442	GRAL.AMPUDIA Nº 18	2/1
185	439543,2	4477687	AV.REINA VICTORIA-GRAL.RODRIGO	2/1 68/2 91/2
186	439695,7	4477692	GUZMAN EL BUENO Nº 139	2/1 2/2
187	439672,6	4477365	GUZMAN EL BUENO-SAN FRANCISCO DE SALES	2/2
188	439657	4477218	GUZMAN EL BUENO-JUAN VIGON	2/2 12/1
189	439638	4476904	GUZMAN EL BUENO-CEA BERMUDEZ	2/2
190	439617,3	4476582	GUZMAN EL BUENO-FERNANDEZ DE LOS RIOS	2/2
191	439599,1	4476327	GUZMAN EL BUENO-MELENDEZ VALDES	2/2
192	439580	4476044	GUZMAN EL BUENO-ALBERTO AGUILERA	2/2
193	439500	4475704	PRINCESA Nº 29	1/1 2/2 44/2 69/1 133/2
194	442491,1	4474778	AV.MENENDEZ PELAYO-MENORCA	20/2 152/2 508/2
195	442475,2	4474758	AV.MENENDEZ PELAYO-MENORCA	20/1 152/1 508/1
196	442651,9	4474456	SAINZ DE BARANDA Nº 10	508/1
197	442717	4474627	IBIZA-NARVAEZ	508/2
199	443035	4474606	IBIZA-MAIQUEZ	2/1 508/2
203	442026,9	4480009	MATEO INURRIA-ENRIQUE LARRETA	70/1 107/1 129/1
204	441988,2	4480012	MATEO INURRIA-ENRIQUE LARRETA	70/2 107/2 129/2 174/2
205	442331,7	4480065	MATEO INURRIA-AV.RECUERDO	70/1 107/1 129/1
206	442364	4480086	MATEO INURRIA-AV.RECUERDO	70/2 107/2 129/2 174/2
207	442495,1	4480081	MATEO INURRIA-Pº HABANA	70/1 107/1 129/1
208	442865,4	4480056	CAIDOS DIVISION AZUL-AV.PIO XII	70/1 107/1
209	442872	4480068	CAIDOS DIVISION AZUL-AV.PIO XII	70/2 107/2
210	443078	4479957	CAIDOS DIVISION AZUL-CTE.FRANCO	29/1 70/1 107/1 501/1
211	443076	4479991	CAIDOS DIVISION AZUL-CTE.FRANCO	29/2 70/2 107/2 501/2
212	443637	4479954	ARTURO SORIA-AÑASTRO	7/2 70/1
213	443666,8	4479958	ARTURO SORIA-AÑASTRO	70/2
214	443652	4480068	ARTURO SORIA-AÑASTRO	7/1 29/1 107/1 501/1
215	443725	4479563	ARTURO SORIA-MANUEL URIBE	7/2 70/1
216	443728	4479686	ARTURO SORIA-MANUEL URIBE	7/1 70/2
217	443963	4479346	ARTURO SORIA Nº 212	7/1 11/2 70/2
218	444093,8	4479173	ARTURO SORIA-LOPEZ DE HOYOS	9/2 11/1 70/1 72/2 73/2 502/2 503/2
219	444198	4479133	ARTURO SORIA-LOPEZ DE HOYOS	11/2 70/2
220	444357	4478866	ARTURO SORIA-CELESTE	11/1 70/1 503/2
221	444367,1	4478903	ARTURO SORIA-BELISANA	11/2 70/2 503/1
222	444531,6	4478612	ARTURO SORIA-JEFATURA PROV.TRAFICO	11/1 70/1 122/2 503/2
223	444540,9	4478638	ARTURO SORIA Nº 164-LUIS CARLOS VAZQUEZ	11/2 70/2 122/1 503/1
224	444718,1	4478327	ARTURO SORIA-MANUEL Mª IGLESIAS	11/1 70/1 122/2 503/2
225	444806,3	4478215	ARTURO SORIA-DIEGO AYLLON	11/2 70/2 122/1 503/1
226	444854,3	4478083	ARTURO SORIA-HOSPITAL NTRA.SRA.AMERICA	11/1 70/1 503/2
227	444937	4478018	ARTURO SORIA-HOSPITAL NTRA.SRA.AMERICA	11/2 70/2 503/1
228	445069,2	4477752	ARTURO SORIA-CONDESA DE VENADITO	70/1
229	445077	4477788	ARTURO SORIA-JOSEFA VALCARCEL	21/1 70/2 114/2 504/2
230	445350,4	4477530	ARTURO SORIA-JUAN PEREZ ZUÑIGA	70/1
231	445357	4477567	ARTURO SORIA-JUAN PEREZ ZUÑIGA	21/1 70/2
232	445499,8	4477444	ARTURO SORIA-MARQUES PICO VELASCO	70/1
233	445507	4477469	ARTURO SORIA-MARQUES PICO VELASCO	70/2
234	445724,9	4477222	ARTURO SORIA-JOSE DEL HIERRO	70/1
235	445807,5	4477132	ARTURO SORIA-JOSE DEL HIERRO	70/2
236	445931	4476835	ARTURO SORIA-MARQUESA DE TORRECILLA	48/1 70/1
237	445969	4476855	ARTURO SORIA-MARQUESA DE TORRECILLA	48/2 70/2
239	446049	4476707	HNOS.GARCIA NOBLEJAS-ALCALA	4/2 38/2 48/2 70/2 105/2
240	446159	4476427	HNOS.GARCIA NOBLEJAS-VITAL AZA	4/1 38/1 48/1 70/1 105/1
241	446188	4476445	HNOS.GARCIA NOBLEJAS-VITAL AZA	4/2 38/2 48/2 70/2 105/2
242	446295	4476166	HNOS.GARCIA NOBLEJAS-ASCAO	4/1 38/1 48/1 70/1
243	446352	4476160	HNOS.GARCIA NOBLEJAS-JULIAN CAMARILLO	4/2 38/2 48/2 70/2
244	446491	4475817	HNOS.GARCIA NOBLEJAS-LUIS CAMPOS	4/1 38/1 48/1 70/1 506/1
245	446535	4475821	HNOS.GARCIA NOBLEJAS-VALDECANILLAS	4/2 38/2 48/2 70/2 506/2
246	446595	4475626	HNOS.GARCIA NOBLEJAS-CASTILLO DE AREVALO	4/1 38/1 48/1 70/1
247	446608	4475664	HNOS.GARCIA NOBLEJAS-CASTILLO DE AREVALO	4/2 38/2 48/2 70/2
248	446709	4475481	HNOS.GARCIA NOBLEJAS-CASTILLO UCLES	4/2 38/2 48/2 70/2 506/2
250	446833	4475180	HNOS.GARCIA NOBLEJAS-FCO.L.CABALLERO	4/1 38/1 48/1 70/1 506/1
251	446778,8	4475357	HNOS.GARCIA NOBLEJAS-JOSE BLAS	70/2
252	446875	4475204	HNOS.GARCIA NOBLEJAS-AV.ARCENTALES	4/2 38/2 48/2 506/2
253	447024,1	4474836	HNOS.GARCIA NOBLEJAS Nº 184	70/1
255	442897	4475314	GOYA-FERNAN GONZALEZ	30/1
256	446826	4474610	NICOLAS SALMERON-PAREDES DE NAVA	70/2 106/2 507/2
257	446814,4	4474588	NICOLAS SALMERON-PAREDES DE NAVA	106/1 507/1
258	446663	4474724	NICOLAS SALMERON-MATAMOROSA	70/2 106/2
259	446654,7	4474704	NICOLAS SALMERON-MATAMOROSA	106/1
260	446480	4474850	NICOLAS SALMERON Nº 13	70/2 106/2 507/2
261	446475,5	4474835	NICOLAS SALMERON Nº 13	106/1 507/1
262	446299	4474985	NICOLAS SALMERON-CEMENTERIO CIVIL	70/2 106/2
263	446305,2	4474958	NICOLAS SALMERON-CEMENTERIO CIVIL	106/1
264	446220	4475110	FCO.LARGO CABALLERO-N.SALMERON	70/2
265	446435	4475123	FCO.LARGO CABALLERO-FRESNO	70/2
266	442645	4480132	CAIDOS DIVISION AZUL-DUQUE DE PASTRANA	70/2 107/2
268	442808,2	4477366	LOPEZ DE HOYOS-CARTAGENA	9/2 73/2 502/2
269	443561,2	4483339	QUINTANAVIDES-AV.DE BURGOS	176/1
270	443558,6	4483309	QUINTANAVIDES-AV.DE BURGOS	176/2
271	443365	4483404	FORESTA Nº 13	176/1
272	443335,1	4483539	QUINTANADUEÑAS-QUINTANAVIDES	176/2
273	442875,3	4477433	LOPEZ DE HOYOS-PZA.PROSPERIDAD	1/1 1/2
276	444616,2	4477248	AV.BADAJOZ-MARTINEZ VILLERGAS	53/2 122/2 503/2
278	440839	4475208	HORTALEZA-GRAVINA	3/1
280	440786	4475794	FCO.DE ROJAS-SAGASTA	37/2 40/1
281	440766	4475780	FCO.DE ROJAS-SAGASTA	37/1 40/2
282	440729	4475947	FCO.DE ROJAS-LUCHANA	40/2
284	440893	4476152	LUCHANA-PZA.DE CHAMBERÍ	40/1 147/1
285	440848	4476143	LUCHANA-PZA.DE CHAMBERI	40/2 147/2
286	441218	4476223	EDUARDO DATO-ZURBANO	40/1 147/1
287	441205	4476253	EDUARDO DATO-ZURBANO	40/2 147/2
288	441402	4476233	EDUARDO DATO-RUBEN DARIO	40/1 147/1
289	439442,4	4475985	ALBERTO AGUILERA-PRINCESA	602/1 602/2
292	439623,6	4468921	AV.RAFAELA YBARRA-BEASAIN	6/1 131/1
293	442017	4479090	ALBERTO ALCOCER-PADRE DAMIAN	11/1 40/1
294	442021	4479133	ALBERTO ALCOCER-PADRE DAMIAN	11/2 40/2
295	442257	4479074	ALBERTO ALCOCER-Pº DE LA HABANA	11/1 40/1
296	442255	4479108	ALBERTO ALCOCER-Pº DE LA HABANA	11/2 40/2
297	442602	4479081	ALBERTO ALCOCER-BOLIVIA	11/1 40/1
298	442597	4479119	ALBERTO ALCOCER-BOLIVIA	11/2 40/2
299	442841	4479055	COSTA RICA-CHILE	7/1 11/1 40/1
300	443109	4479048	COSTA RICA-VICTOR DE LA SERNA	7/1 11/1 40/1 87/1
302	443383	4479096	COSTA RICA-PZA.JOSE MARIA SOLER	7/1 11/1 40/1 87/1
303	443363	4479125	COSTA RICA-PZA.JOSE MARIA SOLER	7/2 11/2 40/2 87/2
304	443531	4478908	AV.ALFONSO XIII-AV.ASTER	40/1
305	443559,6	4478959	AV.ALFONSO XIII-AV.ASTER	40/2
306	443549	4478697	AV.ALFONSO XIII-AV.ALHELIES	40/1
307	443575	4478701	AV.ALFONSO XIII-AV.ALHELIES	40/2
308	443514	4478475	AV.ALFONSO XIII-AV.RAMON Y CAJAL	40/1
309	443536	4478472	AV.ALFONSO XIII-AV.RAMON Y CAJAL	40/2
310	443495,8	4478262	AV.ALFONSO XIII-PRADILLO	9/2 40/1 43/2 72/2 73/2 502/2
311	443523	4478230	AV.ALFONSO XIII-PRADILLO	40/2 43/1
312	443506	4477922	SAN NAZARIO Nº 1	40/1 40/2
313	443638,1	4477955	CORAZON DE MARIA-SAN NAZARIO	40/2 43/1 72/1
314	442796	4479104	COSTA RICA-PZA.REP.DOMINICANA	7/2 11/2 40/2 87/2
315	439465	4468809	GAINZA-AV.RAFAELA YBARRA	6/1
316	441460	4476293	MIGUEL ANGEL-RUBEN DARIO	40/2 147/2
317	440978	4476214	PZA.DE CHAMBERI	40/2 147/2
320	440573,4	4473200	RONDA DE VALENCIA	34/1 36/1 41/1 68/1 119/1 512/1 515/1
321	440590	4473176	RONDA DE VALENCIA	34/2 36/2 41/2 119/2 512/2 515/2
322	440349,7	4473118	Pº ACACIAS-GTA.EMBAJADORES	34/1 36/1 119/1 512/1 515/1
323	440382	4473103	Pº ACACIAS-GTA.EMBAJADORES	34/2 36/2 119/2 512/2 515/2
324	440108	4473035	Pº ACACIAS-RIBERA DE CURTIDORES	34/1 36/1 62/2 116/1 118/1 119/1
325	440119,3	4473014	Pº ACACIAS-Pº ESPERANZA	34/2 36/2 62/1 116/2 118/2 119/2
326	439858	4472948	Pº ACACIAS-Pº OLMOS	34/1 36/1 62/2 116/1 118/1 119/1 512/1 515/1
327	439579,9	4472750	Pº ACACIAS-GTA.PIRAMIDES	34/1 36/1 62/2 116/1 118/1 119/1 512/1 515/1
328	439585,3	4472728	Pº ACACIAS-GTA.PIRAMIDES	34/2 36/2 62/1 116/2 118/2 119/2 512/2 515/2
329	439239	4472290	GRAL.RICARDOS-GTA.MQUES.VADILLO	34/1 35/1 118/1 119/1 526/1
330	439292	4472293	GRAL.RICARDOS-GTA.MQUES.VADILLO	34/2 35/2 118/2 119/2 526/2
331	439088	4472150	GRAL.RICARDOS-IGLESIA	34/2 35/2 118/2 119/2 526/2
332	439369	4468886	GUETARIA-ORDICIA	6/1
334	438743,5	4471910	GRAL.RICARDOS-Cº VIEJO LEGANES	34/2 35/2 118/2 119/2 526/2
336	438547	4471774	GRAL.RICARDOS-URGEL	34/2 35/2 119/2 526/2
337	438244	4471565	GRAL.RICARDOS-CLARISAS	34/1 35/1 118/1 526/1
338	438251	4471536	GRAL.RICARDOS-CLARISAS	34/2 35/2 526/2
340	438049	4471370	GRAL.RICARDOS-GTA.VALLE DE ORO	34/2 35/2 526/2
341	437524,6	4470986	GRAL.RICARDOS-VISTA ALEGRE	34/1 35/1 517/1
342	437529	4470965	GRAL.RICARDOS-VISTA ALEGRE	34/2 35/2 517/2
343	437367,6	4470935	GRAL.RICARDOS-Pº MUÑOZ GRANDES	34/1 35/1 517/1
344	437329	4470900	GRAL.RICARDOS-Pº MUÑOZ GRANDES	34/2
345	437061	4470700	GRAL.RICARDOS-NTRA.SRA.DE LA LUZ	34/1
346	437083,3	4470691	GRAL.RICARDOS-NTRA.SRA.DE LA LUZ	34/2
347	436866	4470508	GRAL.RICARDOS-EUGENIA  DE MONTIJO	34/1
348	436876,5	4470487	GRAL.RICARDOS-EUGENIA  DE MONTIJO	34/2
